path,old_width,old_height,background_mode
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_mac-dlx_stained-brown.jpeg,1416,4290,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_mac-std_metallic-red-shade.jpg,238,720,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350cst_aged-black.jpg,1511,4543,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350cst_aged-white.jpg,1511,4543,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pf_aged-black.jpg,1580,4660,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pg_aged-lemon-drop.jpg,1579,4681,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_black.jpg,1511,4543,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_brown-sunburst.jpg,1522,4543,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_cherry-sunburst.jpg,1523,4543,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590af_aged-cherry-sunburst.jpg,1800,1800,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590std_aged-cherry-sunburst.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-f80_black-top.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_rsb-618-4_black.jpeg,1470,4833,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_rsb-618-4_white.jpeg,1470,4816,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-700_gold-wing.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_black.jpg,1800,1800,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_candy-apple-red.jpg,1800,1800,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_silver.jpg,1800,1800,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-b_white.jpeg,273,902,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-tt_black.jpg,1464,4726,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-tt_sunburst.jpg,1457,4727,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_3-tone-sunburst.jpeg,783,2500,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_black.jpeg,782,2500,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_white.jpeg,273,902,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_3-tone-sunburst.jpg,1381,4639,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_black.jpg,1393,4750,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_white.jpg,1391,4733,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pbb-wh_white-w-maple.jpeg,807,1030,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pbb-wh_white-w-rosewood.jpeg,1338,4549,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003-lefty_3-tone-sunburst.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003-lefty_black.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_3-tone-sunburst.jpg,1349,3932,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_black.jpg,1349,3908,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_candy-apple-red.jpg,1343,3903,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_green.png,185,498,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_metal-blue.jpg,1338,3909,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_sonic-blue.png,349,492,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003_white.jpg,1343,3912,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_3-tone-sunburst.jpg,1543,4386,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_black-maple-fingerboard.jpg,1631,4652,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-003spl_vintage-white.jpg,1543,4379,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-62-vw_vintage-white.jpg,1556,4448,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-mini_3-tone-sunburst.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-mini_black.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stg-mini_kawaii-pink.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-002m_3-tone-sunburst.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-002m_black-w-red-tortoise-pickguard.jpeg,1366,4000,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-002m_black.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-002m_candy-apple-red.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-002m_ivory.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-tl_metallic-ice-blue.png,253,690,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-tl_natural.png,500,1029,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_teg-tl_white-with-tortoise-shell-pickguard.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_a-35ce_default.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101_tobacco-burst.png,1936,4664,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101dp_muddy-brown.jpg,1830,4644,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_blue.jpg,1902,4761,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_green.jpg,1890,4749,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_red.jpg,1889,4761,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-111_cherry-burst.jpg,1828,4607,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-111dp-l_muddy-brown.jpg,1830,4644,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-111dp_muddy-brown.jpg,1830,4644,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131_natural.jpg,1610,4544,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131dp_muddy-brown.jpg,1588,4487,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_black.jpg,1631,4571,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_blue.jpg,1666,4699,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_green.jpg,1678,4662,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_red.jpg,1666,4661,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_black.jpg,1888,4715,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_natural.jpg,1877,4738,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_orange-sunburst.jpg,1888,4726,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_tobacco-sunburst.jpg,1889,4713,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_feb-f2-fl_stained-black.jpeg,807,1030,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_feb-f2-fl_stained-brown.jpeg,807,1030,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_feb-f2m_stained-black.jpeg,807,1030,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_feb-f2m_stained-brown.jpeg,807,1030,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_fet-f2_stained-brown.png,1800,1800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_ga38-rockandroses_default.png,450,800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc36-caramelle_default.png,534,800,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc36-feline_default.png,724,1084,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc39-pro-slim-q_default.png,1000,1500,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_guitarlele_default.png,1000,1500,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u-30-sapele-q_default.png,683,1024,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-fairy_default.png,683,1024,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-latin_default.jpg,1000,1500,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-passion_default.png,1000,1500,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-rock-and-roses_default.jpeg,505,766,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk-q_default.png,683,1024,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk_default.png,683,1024,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb-q_default.png,1707,2560,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb_default.png,1707,2560,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-nt_default.png,683,1024,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-ntq_default.png,683,1024,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/cascha_hh2078_default.png,500,500,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpro_silver-glitter.png,4016,6016,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/don-jose_dj-c700-nt_default.png,336,1000,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/don-jose_dj-c700eq-nt_default.png,336,1000,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/flinthill_fhb-55_default.png,800,1200,white
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgb-200_brown-sunburst.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_black.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_brown-sunburst.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_candy-apple-red.png,279,485,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_metallic-blue.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_black-paisley.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_blue-paisley.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_pink-paisley.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200v_brown-sunburst.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-259_black.png,1600,1600,none
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-259_white.png,1600,1600,none
