brand,sku,product_name,section,subcategory,finish,source_image,new_image,new_filename
Danelectro,D59M-PLUS-MF,59M NOS+ Metalflake,Fretted Instruments,Electric Guitars,59m Nos+ Red Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro 59M NOS+ Red Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-red-metalflake.png,danelectro_d59m-plus-mf_59m-nos-red-metalflake.png
Danelectro,D59M-PLUS-MF,59M NOS+ Metalflake,Fretted Instruments,Electric Guitars,59m Nos+ Orange Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro 59M NOS+ Orange Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-orange-metalflake.png,danelectro_d59m-plus-mf_59m-nos-orange-metalflake.png
Danelectro,D59M-PLUS-MF,59M NOS+ Metalflake,Fretted Instruments,Electric Guitars,59m Nos+ Blue Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro 59M NOS+ Blue Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-blue-metalflake.png,danelectro_d59m-plus-mf_59m-nos-blue-metalflake.png
Danelectro,D59M-PLUS-LFT,‘59M NOS+ Lefty,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Lefty Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_black.png,danelectro_d59m-plus-lft_black.png
Danelectro,D59M-PLUS-LFT,‘59M NOS+ Lefty,Fretted Instruments,Electric Guitars,Seafoam Green,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Lefty Seafoam Green.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_seafoam-green.png,danelectro_d59m-plus-lft_seafoam-green.png
Danelectro,TRIPLE DIVINE,Triple Divine,Fretted Instruments,Electric Guitars,Burgundy,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Triple Divine Burgundy.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_burgundy.png,danelectro_triple-divine_burgundy.png
Danelectro,TRIPLE DIVINE,Triple Divine,Fretted Instruments,Electric Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Triple Divine Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_red.png,danelectro_triple-divine_red.png
Danelectro,D59DIVINE,59 Divine,Fretted Instruments,Electric Guitars,Dark Walnut,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59 DIVINE Dark Walnut.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_dark-walnut.png,danelectro_d59divine_dark-walnut.png
Danelectro,D59DIVINE,59 Divine,Fretted Instruments,Electric Guitars,Flame Maple,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59 DIVINE Flame Maple.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_flame-maple.png,danelectro_d59divine_flame-maple.png
Danelectro,D59DIVINE,59 Divine,Fretted Instruments,Electric Guitars,Fresh Cream,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59 DIVINE Fresh Cream.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_fresh-cream.png,danelectro_d59divine_fresh-cream.png
Danelectro,BO59-MF,Blackout ‘59,Fretted Instruments,Electric Guitars,Black Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Blackout ΓÇÿ59 Black Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_black-metalflake.png,danelectro_bo59-mf_black-metalflake.png
Danelectro,BO59-MF,Blackout ‘59,Fretted Instruments,Electric Guitars,Purple Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Blackout ΓÇÿ59 Purple Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_purple-metalflake.png,danelectro_bo59-mf_purple-metalflake.png
Danelectro,59XT,‘59XT,Fretted Instruments,Electric Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59XT Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_aqua.png,danelectro_59xt_aqua.png
Danelectro,59XT,‘59XT,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59XT Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_black.png,danelectro_59xt_black.png
Danelectro,59XT,‘59XT,Fretted Instruments,Electric Guitars,Burgundy,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59XT Burgundy.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_burgundy.png,danelectro_59xt_burgundy.png
Danelectro,59XT,‘59XT,Fretted Instruments,Electric Guitars,Silver,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59XT Silver.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_silver.png,danelectro_59xt_silver.png
Danelectro,D59R,Fifty Niner,Fretted Instruments,Electric Guitars,Gold,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Fifty Niner Gold.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_gold.png,danelectro_d59r_gold.png
Danelectro,D59R,Fifty Niner,Fretted Instruments,Electric Guitars,Jade,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Fifty Niner Jade.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_jade.png,danelectro_d59r_jade.png
Danelectro,D59R,Fifty Niner,Fretted Instruments,Electric Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Fifty Niner Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_red.png,danelectro_d59r_red.png
Danelectro,BO59-GRN,Blackout ‘59,Fretted Instruments,Electric Guitars,Green Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Blackout ΓÇÿ59 Green Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-grn_green-metalflake.png,danelectro_bo59-grn_green-metalflake.png
Danelectro,DPBS,PB Special,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro PB Special Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_black.png,danelectro_dpbs_black.png
Danelectro,DPBS,PB Special,Fretted Instruments,Electric Guitars,White,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro PB Special White.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_white.png,danelectro_dpbs_white.png
Danelectro,64XT,64XT,Fretted Instruments,Electric Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro 64XT Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_64xt_aqua.png,danelectro_64xt_aqua.png
Danelectro,D67,67 Dano,Fretted Instruments,Electric Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ67 Dano Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_aqua.png,danelectro_d67_aqua.png
Danelectro,D67,67 Dano,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ67 Dano Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_black.png,danelectro_d67_black.png
Danelectro,D67,67 Dano,Fretted Instruments,Electric Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ67 Dano Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_red.png,danelectro_d67_red.png
Danelectro,D67,67 Dano,Fretted Instruments,Electric Guitars,Yellow,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ67 Dano Yellow.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_yellow.png,danelectro_d67_yellow.png
Danelectro,DLHGUITAR-CPR,Longhorn Guitar,Fretted Instruments,Electric Guitars,Copperburst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Longhorn Guitar Copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhguitar-cpr_copperburst.png,danelectro_dlhguitar-cpr_copperburst.png
Danelectro,DPRO,Pro Semi-Hollow Electric Guitar,Fretted Instruments,Electric Guitars,Silver Glitter,/Users/lpdmusic/Documents/New project/NEW CATALOG Folder/Links/PB SPECIAL- WHITE.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpro_silver-glitter.png,danelectro_dpro_silver-glitter.png
Danelectro,CONV,Convertible,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Convertible Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_black.png,danelectro_conv_black.png
Danelectro,CONV,Convertible,Fretted Instruments,Electric Guitars,Cream,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Convertible Cream.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_cream.png,danelectro_conv_cream.png
Danelectro,CONV,Convertible,Fretted Instruments,Electric Guitars,Tobacco Sunburst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Convertible Tobacco Sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_tobacco-sunburst.png,danelectro_conv_tobacco-sunburst.png
Danelectro,12SDC,12SDC 12 String,Fretted Instruments,Specialty Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro 12SDC 12 String Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_aqua.png,danelectro_12sdc_aqua.png
Danelectro,12SDC,12SDC 12 String,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro 12SDC 12 String Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_black.png,danelectro_12sdc_black.png
Danelectro,12SDC,12SDC 12 String,Fretted Instruments,Specialty Guitars,Vintage White,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro 12SDC 12 String Vintage White.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_vintage-white.png,danelectro_12sdc_vintage-white.png
Danelectro,59R12ST,Fifty Niner 12 string,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Fifty Niner 12 String Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_black.png,danelectro_59r12st_black.png
Danelectro,59R12ST,Fifty Niner 12 string,Fretted Instruments,Specialty Guitars,Gold,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Fifty Niner 12 String Gold.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_gold.png,danelectro_59r12st_gold.png
Danelectro,D59X12,59x 12 String,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59x 12 String Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_black.png,danelectro_d59x12_black.png
Danelectro,D59X12,59x 12 String,Fretted Instruments,Specialty Guitars,Blood Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59x 12 String Blood Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_blood-red.png,danelectro_d59x12_blood-red.png
Danelectro,D59X12,59x 12 String,Fretted Instruments,Specialty Guitars,Ice Grey,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59x 12 String Ice Grey.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_ice-grey.png,danelectro_d59x12_ice-grey.png
Danelectro,D59X12,59x 12 String,Fretted Instruments,Specialty Guitars,Red Burst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59x 12 String Red Burst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_red-burst.png,danelectro_d59x12_red-burst.png
Danelectro,D59X12,59x 12 String,Fretted Instruments,Specialty Guitars,Vintage Cream,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59x 12 String Vintage Cream.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_vintage-cream.png,danelectro_d59x12_vintage-cream.png
Danelectro,D59RESO,‘59 Resonator,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59 Resonator Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_black.png,danelectro_d59reso_black.png
Danelectro,D59RESO,‘59 Resonator,Fretted Instruments,Specialty Guitars,Tobacco Sunburst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ59 Resonator Tobacco Sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_tobacco-sunburst.png,danelectro_d59reso_tobacco-sunburst.png
Danelectro,D59V12,Vintage 12 String,Fretted Instruments,Specialty Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Vintage 12 String Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_aqua.png,danelectro_d59v12_aqua.png
Danelectro,D59V12,Vintage 12 String,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Vintage 12 String Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_black.png,danelectro_d59v12_black.png
Danelectro,D59V12,Vintage 12 String,Fretted Instruments,Specialty Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Vintage 12 String Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_red.png,danelectro_d59v12_red.png
Danelectro,D59V12,Vintage 12 String,Fretted Instruments,Specialty Guitars,Vintage White,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Vintage 12 String Vintage White.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_vintage-white.png,danelectro_d59v12_vintage-white.png
Danelectro,DBN612,Doubleneck 6/12,Fretted Instruments,Specialty Guitars,Red Crackle,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Doubleneck 6:12 Red Crackle.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_red-crackle.png,danelectro_dbn612_red-crackle.png
Danelectro,DBN612,Doubleneck 6/12,Fretted Instruments,Specialty Guitars,White,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Doubleneck 6:12 White.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_white.png,danelectro_dbn612_white.png
Danelectro,D56VBAR,‘56 Vintage Baritone,Fretted Instruments,Specialty Guitars,Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Vintage Baritone Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_aqua.png,danelectro_d56vbar_aqua.png
Danelectro,D56VBAR,‘56 Vintage Baritone,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Vintage Baritone Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_black.png,danelectro_d56vbar_black.png
Danelectro,D56VBAR,‘56 Vintage Baritone,Fretted Instruments,Specialty Guitars,Metallic Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Vintage Baritone Metallic Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_metallic-red.png,danelectro_d56vbar_metallic-red.png
Danelectro,D56VBAR,‘56 Vintage Baritone,Fretted Instruments,Specialty Guitars,Vintage White,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Vintage Baritone Vintage White.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_vintage-white.png,danelectro_d56vbar_vintage-white.png
Danelectro,D56BAR,56 Baritone,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Baritone Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_black.png,danelectro_d56bar_black.png
Danelectro,D56BAR,56 Baritone,Fretted Instruments,Specialty Guitars,Red Burst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Baritone Red Burst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red-burst.png,danelectro_d56bar_red-burst.png
Danelectro,D56BAR,56 Baritone,Fretted Instruments,Specialty Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Baritone Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red.png,danelectro_d56bar_red.png
Danelectro,D56BARLFTY-BLK,56 Baritone Lefty,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ56 Baritone Lefty Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56barlfty-blk_black.png,danelectro_d56barlfty-blk_black.png
Danelectro,LHBARI,Longhorn Baritone,Fretted Instruments,Specialty Guitars,Blackburst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Longhorn Baritone Blackburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_blackburst.png,danelectro_lhbari_blackburst.png
Danelectro,LHBARI,Longhorn Baritone,Fretted Instruments,Specialty Guitars,Copperburst,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Longhorn Baritone Copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_copperburst.png,danelectro_lhbari_copperburst.png
Danelectro,66BT,‘66 Baritone,Fretted Instruments,Electric Guitars,Transparent Blue,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro ΓÇÿ66 Baritone Transparent Blue.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_66bt_transparent-blue.png,danelectro_66bt_transparent-blue.png
Danelectro,D59RBAR,Fifty Niner Baritone,Fretted Instruments,Specialty Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Specialty Guitars/Danelectro Fifty Niner Baritone Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_black.png,danelectro_d59rbar_black.png
